Base,Reranker,Metric,Value,Optimization,Protected
BMF,FairStar,NDCG,0.0341,Joint-5%,COUNTRY_low_pfr
SLIM,FairStar,NDCG,0.01695,Joint-5%,COUNTRY_low_pfr
RankALS,FairStar,NDCG,0.0528,Joint-5%,COUNTRY_low_pfr
BPR,PFAR,NDCG,0.0625,Joint-5%,COUNTRY_low_pfr
BMF,PFAR,NDCG,0.034,Joint-5%,COUNTRY_low_pfr
SLIM,PFAR,NDCG,0.0163,Joint-5%,COUNTRY_low_pfr
RankALS,PFAR,NDCG,0.0526,Joint-5%,COUNTRY_low_pfr
BPR,FAR,NDCG,0.0694,Joint-2%,COUNTRY_low_pfr
BMF,FAR,NDCG,0.0326,Joint-2%,COUNTRY_low_pfr
SLIM,FAR,NDCG,0.0167,Joint-2%,COUNTRY_low_pfr
RankALS,FAR,NDCG,0.0554,Joint-2%,COUNTRY_low_pfr
BPR,FairStar,NDCG,0.0644,Joint-2%,COUNTRY_low_pfr
BMF,FairStar,NDCG,0.0644,Joint-2%,COUNTRY_low_pfr
SLIM,FairStar,NDCG,0.0167,Joint-2%,COUNTRY_low_pfr
RankALS,FairStar,NDCG,0.0554,Joint-2%,COUNTRY_low_pfr
BPR,PFAR,NDCG,0.0649,Joint-2%,COUNTRY_low_pfr
BMF,PFAR,NDCG,0.0328,Joint-2%,COUNTRY_low_pfr
SLIM,PFAR,NDCG,0.0167,Joint-2%,COUNTRY_low_pfr
RankALS,PFAR,NDCG,0.0554,Joint-2%,COUNTRY_low_pfr
BPR,None,NDCG,0.0658,Original,
BMF,None,NDCG,0.0325,Original,
SLIM,None,NDCG,0.0167,Original,
RankALS,None,NDCG,0.0554,Original,
BPR,FAR,NDCG,0.0595,Separate,Loan Bucket 5
BMF,FAR,NDCG,0.033,Separate,Loan Bucket 5
SLIM,FAR,NDCG,0.0161,Separate,Loan Bucket 5
RankALS,FAR,NDCG,0.0522,Separate,Loan Bucket 5
BPR,FairStar,NDCG,0.0596,Separate,Loan Bucket 5
BMF,FairStar,NDCG,0.0341,Separate,Loan Bucket 5
SLIM,FairStar,NDCG,0.016,Separate,Loan Bucket 5
